,propertyCode,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,distance,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has360,hasStaging,floor,hasLift,parkingSpace
43,98829932,460.0,flat,rent,85.0,True,1,1,La villa,Toledo,Casarrubios del Monte,es,401.843.187,-40.352.101,False,38210,False,good,False,5.0,{'typology': 'flat'},"{'subtitle': 'Casarrubios del Monte', 'title': 'Piso en La villa'}",False,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
44,98898736,460.0,flat,rent,55.0,True,1,1,Avenida Aranjuez s/n,Toledo,Mocejón,es,399.399.761,-39.139.485,True,55947,,,,,,,,,,,,
45,98919128,600.0,duplex,rent,70.0,True,2,1,Alameda de la Sagra,Toledo,Alameda de la Sagra,es,400.137.302,-37.908.558,False,45419,,,,,,,,,,,,
46,95224372,400.0,flat,rent,100.0,True,3,2,Cabañas de la Sagra,Toledo,Cabañas de la Sagra,es,40.009.603,-39.515.398,False,49933,False,good,False,4.0,{'typology': 'flat'},"{'subtitle': 'Cabañas de la Sagra', 'title': 'Piso'}",True,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
47,98115154,400.0,flat,rent,128.0,False,4,2,Calle Ancha,Toledo,Villaseca de la Sagra,es,399.626.457,-38.834.829,False,52756,False,good,False,3.0,{'typology': 'flat'},"{'subtitle': 'Villaseca de la Sagra', 'title': 'Piso en Calle Ancha'}",False,False,False,4,True,
48,95224372,400.0,flat,rent,100.0,True,3,2,Cabañas de la Sagra,Toledo,Cabañas de la Sagra,es,40.009.603,-39.515.398,False,49933,False,good,False,4.0,{'typology': 'flat'},"{'subtitle': 'Cabañas de la Sagra', 'title': 'Piso'}",True,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
49,98729660,660.0,flat,rent,91.0,True,2,2,Calle Claudio Coello,Toledo,Seseña,es,401.273.733,-36.715.045,False,32282,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en Calle Claudio Coello'}",False,False,False,5,True,
50,98023024,500.0,flat,rent,100.0,True,3,1,Calle Don Hipólito Ezquerra,Toledo,Fuensalida,es,400.518.967,-42.097.306,False,59106,False,good,False,5.0,{'typology': 'flat'},"{'subtitle': 'Fuensalida', 'title': 'Piso en Calle Don Hipólito Ezquerra'}",False,False,False,3,False,
51,98212694,430.0,flat,rent,60.0,True,1,1,castilla la mancha,Toledo,Valmojado,es,402.069.459,-4.088.113,False,40108,True,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Valmojado', 'title': 'Piso en castilla la mancha'}",False,False,False,1,True,
52,96152026,700.0,chalet,rent,189.0,False,4,3,Camarena,Toledo,Camarena,es,400.888.133,-4.117.776,False,50661,False,good,False,4.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Camarena', 'title': 'Chalet adosado'}",False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
53,98895412,700.0,flat,rent,97.0,True,2,2,claudio coello s/n,Toledo,Seseña,es,401.272.247,-36.702.475,True,32308,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en claudio coello s/n'}",False,False,False,6,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
54,98850156,620.0,flat,rent,97.0,True,2,2,van gogh s/n,Toledo,Seseña,es,401.367.969,-36.664.137,True,31278,False,good,False,6.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso en van gogh s/n'}",False,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
55,98424038,550.0,flat,rent,79.0,True,2,2,Calle San Juan,Toledo,Ocaña,es,399.627.744,-35.014.766,False,53302,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Centro, Ocaña', 'title': 'Piso en Calle San Juan'}",True,False,False,1,True,
56,98810940,650.0,flat,rent,176.0,True,3,2,Cedillo,Toledo,Lominchar,es,400.910.982,-39.638.562,False,42423,False,good,False,4.0,{'typology': 'flat'},"{'subtitle': 'Lominchar', 'title': 'Piso en Cedillo'}",False,False,False,1,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
57,92700032,650.0,flat,rent,87.0,False,2,2,El Quiñón,Toledo,Seseña,es,40.135.057,-36.707.164,False,31437,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'El Quiñón, Seseña', 'title': 'Piso'}",False,False,False,3,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
58,98719654,750.0,chalet,rent,160.0,False,3,3,"Arcicollar, 12",Toledo,Santa Cruz del Retamar,es,401.161.765,-42.364.093,True,56238,False,good,False,5.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}","{'subtitle': 'Santa Cruz del Retamar', 'title': 'Chalet pareado en Arcicollar, 12'}",False,False,False,,,
59,98264932,750.0,countryHouse,rent,341.0,False,2,1,sexta bandera,Toledo,Las Ventas de Retamosa,es,401.570.082,-41.128.442,False,45173,False,good,False,2.0,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}","{'subtitle': 'Las Ventas de Retamosa', 'title': 'Casa de pueblo en sexta bandera'}",False,False,False,,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
60,37032253,525.0,flat,rent,57.0,True,1,1,Caridad del Cobre,Toledo,Illescas,es,4.012.629,-38.484,False,34558,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'Parque - Ctra de Ugena, Illescas', 'title': 'Piso en Caridad del Cobre'}",False,False,False,2,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
61,93324287,480.0,flat,rent,80.0,True,2,1,Las Ventas de Retamosa,Toledo,Las Ventas de Retamosa,es,401.548.085,-41.129.467,False,45337,False,good,False,6.0,{'typology': 'flat'},"{'subtitle': 'Las Ventas de Retamosa', 'title': 'Piso'}",False,False,False,1,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}"
