,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,showAddress,distance,status,newDevelopment,hasStaging,floor,district,hasLift,priceByArea_knn,price_robust,rooms_robust,bathrooms_robust,priceByArea_knn_robust
0,710.0,697.5543478260516,692.9147727272727,55.0,True,2,1,695.1377055818724,692.9147727272727,705.6331317949237,692.9147727272727,True,11596.5,693.8694362017804,694.4,693.7241379310345,696.0917641954768,693.919819760971,701.9941837725582,12.0,0.0,0.0,0.0,0.0
1,710.0,697.5543478260516,692.9147727272727,55.0,True,2,1,695.1377055818724,692.9147727272727,705.6331317949237,692.9147727272727,False,11596.5,693.8694362017804,694.4,693.7241379310345,696.0917641954768,693.919819760971,701.9941837725582,12.0,0.0,0.0,0.0,0.0
2,710.0,697.5543478260516,692.9147727272727,55.0,True,2,1,695.1377055818724,692.9147727272727,705.6331317949237,692.9147727272727,False,11596.5,693.8694362017804,694.4,693.7241379310345,696.0917641954768,693.919819760971,701.9941837725582,12.0,0.0,0.0,0.0,0.0
3,710.0,697.5543478260516,692.9147727272727,55.0,True,2,1,695.1377055818724,692.9147727272727,705.6331317949237,692.9147727272727,False,11596.5,693.8694362017804,694.4,693.7241379310345,696.0917641954768,693.919819760971,701.9941837725582,12.0,0.0,0.0,0.0,0.0
4,684.0,689.8135835104855,692.9147727272727,45.0,True,0,1,691.7548852484344,692.9147727272727,705.6331317949237,692.9147727272727,True,10656.0,693.8694362017804,694.4,693.7241379310345,671.7426565963486,645.6570962777485,673.696037921879,13.29585798816568,-0.4,-2.0,0.0,0.21597633136094677
5,600.0,697.5543478260516,692.9147727272727,73.0,True,2,1,680.8257734019426,692.9147727272727,680.8257734019426,692.9147727272727,False,37062.0,693.8694362017804,694.4,693.7241379310345,697.6398926981135,645.6570962777485,689.6772184780355,8.0,-1.6923076923076923,0.0,0.0,-0.6666666666666666
6,600.0,691.6288387541684,692.9147727272727,71.0,True,1,1,680.8257734019426,692.9147727272727,682.4242993548665,692.9147727272727,False,44126.0,693.8694362017804,694.4,693.7241379310345,701.6979621920462,645.6570962777485,689.6772184780355,8.0,-1.6923076923076923,-1.0,0.0,-0.6666666666666666
7,550.0,697.5543478260516,692.9147727272727,53.0,True,1,1,674.3203496837928,692.9147727272727,705.6331317949237,692.9147727272727,False,4008.0,693.8694362017804,694.4,693.7241379310345,701.6979621920462,695.3568495228385,689.6772184780355,10.0,-2.4615384615384617,-1.0,0.0,-0.3333333333333333
8,700.0,689.8135835104855,692.9147727272727,28.0,True,0,1,693.8366208382424,692.9147727272727,705.6331317949237,692.9147727272727,True,5569.0,693.8694362017804,694.4,693.7241379310345,701.6979621920462,698.0475808771694,689.6772184780355,25.0,-0.15384615384615385,-2.0,0.0,2.1666666666666665
9,700.0,691.6288387541684,692.9147727272727,86.0,True,2,1,693.8366208382424,692.9147727272727,693.8366208382424,692.9147727272727,False,31153.0,693.8694362017804,694.4,693.7241379310345,697.6398926981135,693.8366208382424,701.9941837725582,8.0,-0.15384615384615385,0.0,0.0,-0.6666666666666666
10,700.0,697.5543478260516,692.9147727272727,45.0,False,1,1,693.8366208382424,692.9147727272727,705.6331317949237,692.9147727272727,False,2046.0,693.8694362017804,694.4,693.7241379310345,698.291590668491,697.4660963834832,689.6772184780355,16.0,-0.15384615384615385,-1.0,0.0,0.6666666666666666
11,550.0,697.5543478260516,692.9147727272727,54.0,True,2,1,674.3203496837928,692.9147727272727,683.8160867356914,692.9147727272727,True,26233.0,693.8694362017804,694.4,693.7241379310345,671.7426565963486,691.160453138933,689.6772184780355,10.0,-2.4615384615384617,0.0,0.0,-0.3333333333333333
12,695.0,697.5543478260516,692.9147727272727,64.0,True,2,1,693.1860784664274,692.9147727272727,701.4047554950265,692.9147727272727,True,15747.0,693.8694362017804,694.4,693.7241379310345,701.6979621920462,700.1942941851338,689.6772184780355,11.0,-0.23076923076923078,0.0,0.0,-0.16666666666666666
13,650.0,697.5543478260516,692.9147727272727,68.0,True,2,1,687.3311971200925,692.9147727272727,690.3735431384588,692.9147727272727,False,42410.0,693.8694362017804,694.4,693.7241379310345,678.6636365033631,690.3735431384588,689.6772184780355,10.0,-0.9230769230769231,0.0,0.0,-0.3333333333333333
14,700.0,697.5543478260516,692.9147727272727,30.0,False,1,1,693.8366208382424,692.9147727272727,705.6331317949237,692.9147727272727,False,3247.0,693.8694362017804,694.4,693.7241379310345,701.6979621920462,695.3018521666253,701.9941837725582,23.0,-0.15384615384615385,-1.0,0.0,1.8333333333333333
15,700.0,697.5543478260516,692.9147727272727,35.0,False,1,1,693.8366208382424,692.9147727272727,705.6331317949237,692.9147727272727,False,1894.0,693.8694362017804,694.4,693.7241379310345,701.6979621920462,698.4095308612076,689.6772184780355,20.0,-0.15384615384615385,-1.0,0.0,1.3333333333333333
16,700.0,697.5543478260516,692.9147727272727,43.0,True,1,1,693.8366208382424,692.9147727272727,705.6331317949237,692.9147727272727,False,4442.0,693.8694362017804,694.4,693.7241379310345,696.0917641954768,691.493115765247,701.9941837725582,16.0,-0.15384615384615385,-1.0,0.0,0.6666666666666666
17,650.0,697.5543478260516,692.9147727272727,60.0,True,2,1,687.3311971200925,692.9147727272727,705.6331317949237,692.9147727272727,True,3985.0,693.8694362017804,694.4,693.7241379310345,701.6979621920462,695.3568495228385,689.6772184780355,11.0,-0.9230769230769231,0.0,0.0,-0.16666666666666666
