,propertyCode,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,distance,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has360,hasStaging,externalReference,floor,district,hasLift
254,98911140,750.0,flat,rent,109.0,True,2,2,Hospital,Madrid,Valdemoro,es,401.969.978,-36.896.474,False,24455,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Hospital, Valdemoro', 'title': 'Piso'}",False,False,False,Pisoalquileragatha,3,Hospital,True
255,92632695,749.0,flat,rent,38.0,True,1,1,"Calle Peso Hispano, 6",Madrid,Madrid,es,403.670.279,-3.743.863,True,6506,False,good,False,20.0,{'typology': 'flat'},"{'subtitle': 'Pau de Carabanchel, Madrid', 'title': 'Piso en Calle Peso Hispano, 6'}",False,True,False,OKM-05754,2,Carabanchel,True
256,98754010,700.0,studio,rent,30.0,False,0,1,Calle de Narciso Serra,Madrid,Madrid,es,404.029.147,-36.812.663,False,2411,False,good,False,23.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Pacífico, Madrid', 'title': 'Estudio en Calle de Narciso Serra'}",False,False,False,,bj,Retiro,True
257,95295550,667.0,flat,rent,70.0,True,1,1,"Calle Estrella Polar, 2",Madrid,Parla,es,402.306.942,-37.574.148,True,21185,False,good,False,10.0,{'typology': 'flat'},"{'subtitle': 'Parla Este, Parla', 'title': 'Piso en Calle Estrella Polar, 2'}",False,False,False,2804/28040001/00000034,8,Parla Este,True
258,98898678,725.0,flat,rent,45.0,False,1,1,Calle de Deyanira,Madrid,Madrid,es,404.444.556,-35.859.227,False,10398,False,good,False,16.0,{'typology': 'flat'},"{'subtitle': 'Rejas, Madrid', 'title': 'Piso en Calle de Deyanira'}",False,False,False,Inmo/30,1,San Blas,True
259,98831345,550.0,penthouse,rent,70.0,True,3,1,Ortega y Gasset,Madrid,Robledo de Chavela,es,405.236.154,-42.481.052,False,47595,False,good,False,8.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Robledo de Chavela', 'title': 'Ático en Ortega y Gasset'}",False,False,False,,3,,False
260,98066042,695.0,flat,rent,55.0,True,3,1,Calle Real,Madrid,Parla,es,402.461.268,-37.689.141,False,19765,True,good,False,13.0,{'typology': 'flat'},"{'subtitle': 'Villayuventus-Renfe, Parla', 'title': 'Piso en Calle Real'}",True,True,False,CH-24037-0001,4,Villayuventus-Renfe,False
261,98921488,750.0,flat,rent,105.0,True,3,1,"san juan, campo real",Madrid,Campo Real,es,403.374.662,-33.794.101,False,28810,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Campo Real', 'title': 'Piso en san juan, campo real'}",False,False,False,ijrCAMPOREAL,1,,False
262,92203231,699.0,flat,rent,52.0,True,1,1,"Calle Trole, 9",Madrid,Madrid,es,403.809.876,-36.338.528,True,7092,False,good,False,13.0,{'typology': 'flat'},"{'subtitle': 'Palomeras sureste, Madrid', 'title': 'Piso en Calle Trole, 9'}",False,False,False,,3,Puente de Vallecas,True
263,98852783,750.0,studio,rent,32.0,True,0,1,Calle Caribe,Madrid,Madrid,es,404.415.195,-36.538.927,False,5006,True,good,False,23.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'San Pascual, Madrid', 'title': 'Estudio en Calle Caribe'}",False,False,False,5086,14,Ciudad Lineal,True
264,92914178,730.0,flat,rent,80.0,True,3,1,MAESTRO SERRANO,Madrid,Collado Villalba,es,406.324.167,-40.173.039,False,35774,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'Carlos Ruiz, Collado Villalba', 'title': 'Piso en MAESTRO SERRANO'}",False,False,False,AL1441,4,Carlos Ruiz,False
265,98378328,710.0,flat,rent,30.0,True,1,1,Calle del Ventorrillo,Madrid,Madrid,es,404.066.932,-3.706.995,False,1156,True,good,False,24.0,{'typology': 'flat'},"{'subtitle': 'Lavapiés-Embajadores, Madrid', 'title': 'Piso en Calle del Ventorrillo'}",True,True,False,CG-50043-0001,bj,Centro,False
266,98846952,650.0,flat,rent,58.0,True,1,1,"Villalobos, 42",Madrid,Madrid,es,403.802.956,-36.521.582,True,5924,False,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Palomeras sureste, Madrid', 'title': 'Piso en Villalobos, 42'}",False,False,False,"Villalobos, 42 1dmext.IV",4,Puente de Vallecas,True
